coluna,valor,contagem
acousticness,0.031,21
acousticness,0.0379,21
acousticness,0.116,21
acousticness,0.142,21
acousticness,0.153,21
acousticness,0.16,21
acousticness,0.177,21
acousticness,0.231,21
acousticness,0.238,21
acousticness,0.26,21
acousticness,0.263,21
acousticness,0.303,21
acousticness,0.313,21
acousticness,0.315,21
acousticness,0.324,21
acousticness,0.328,21
acousticness,0.339,21
acousticness,0.373,21
acousticness,0.452,21
acousticness,0.54,21
acousticness,0.676,21
acousticness,0.693,21
acousticness,0.722,21
acousticness,0.77,21
acousticness,0.78,21
acousticness,0.787,21
acousticness,0.788,21
acousticness,0.789,21
acousticness,0.809,21
acousticness,0.816,21
acousticness,0.876,21
acousticness,0.888,21
acousticness,0.902,21
acousticness,0.916,21
acousticness,0.925,21
acousticness,0.936,21
acousticness,0.00124,20
acousticness,0.0039,20
acousticness,0.0145,20
acousticness,0.016,20
acousticness,0.0169,20
acousticness,0.0265,20
acousticness,0.0519,20
acousticness,0.0601,20
acousticness,0.164,20
acousticness,0.195,20
acousticness,0.206,20
acousticness,0.211,20
acousticness,0.212,20
acousticness,0.226,20
acousticness,0.235,20
acousticness,0.243,20
acousticness,0.255,20
acousticness,0.267,20
acousticness,0.269,20
acousticness,0.27,20
acousticness,0.279,20
acousticness,0.317,20
acousticness,0.352,20
acousticness,0.393,20
acousticness,0.405,20
acousticness,0.458,20
acousticness,0.467,20
acousticness,0.486,20
acousticness,0.564,20
acousticness,0.576,20
acousticness,0.586,20
acousticness,0.593,20
acousticness,0.615,20
acousticness,0.64,20
acousticness,0.646,20
acousticness,0.658,20
acousticness,0.674,20
acousticness,0.702,20
acousticness,0.704,20
acousticness,0.778,20
acousticness,0.791,20
acousticness,0.794,20
acousticness,0.796,20
acousticness,0.815,20
acousticness,0.826,20
acousticness,0.86,20
acousticness,0.862,20
acousticness,0.863,20
acousticness,0.89,20
acousticness,0.897,20
acousticness,0.931,20
acousticness,0.932,20
acousticness,0.946,20
acousticness,0.952,20
acousticness,0.959,20
acousticness,0.973,20
acousticness,0.00113,19
acousticness,0.00383,19
acousticness,0.00415,19
acousticness,0.0106,19
acousticness,0.0111,19
acousticness,0.0123,19
acousticness,0.013,19
acousticness,0.0138,19
acousticness,0.014,19
acousticness,0.0179,19
acousticness,0.0227,19
acousticness,0.0259,19
acousticness,0.0405,19
acousticness,0.0453,19
acousticness,0.0863,19
acousticness,0.215,19
acousticness,0.218,19
acousticness,0.22,19
acousticness,0.256,19
acousticness,0.309,19
acousticness,0.31,19
acousticness,0.326,19
acousticness,0.345,19
acousticness,0.375,19
acousticness,0.397,19
acousticness,0.406,19
acousticness,0.552,19
acousticness,0.56,19
acousticness,0.596,19
acousticness,0.618,19
acousticness,0.642,19
acousticness,0.686,19
acousticness,0.709,19
acousticness,0.713,19
acousticness,0.714,19
acousticness,0.723,19
acousticness,0.754,19
acousticness,0.765,19
acousticness,0.766,19
acousticness,0.768,19
acousticness,0.775,19
acousticness,0.784,19
acousticness,0.855,19
acousticness,0.858,19
acousticness,0.866,19
acousticness,0.882,19
acousticness,0.883,19
acousticness,0.898,19
acousticness,0.901,19
acousticness,0.905,19
acousticness,0.907,19
acousticness,0.908,19
acousticness,0.918,19
acousticness,0.924,19
acousticness,0.937,19
acousticness,0.958,19
acousticness,0.96,19
acousticness,0.00104,18
acousticness,0.00129,18
acousticness,0.00512,18
acousticness,0.0109,18
acousticness,0.0141,18
acousticness,0.0178,18
acousticness,0.0187,18
acousticness,0.0226,18
acousticness,0.0233,18
acousticness,0.0749,18
acousticness,0.208,18
acousticness,0.209,18
acousticness,0.213,18
acousticness,0.234,18
acousticness,0.264,18
acousticness,0.28,18
acousticness,0.284,18
acousticness,0.332,18
acousticness,0.342,18
acousticness,0.356,18
acousticness,0.357,18
acousticness,0.363,18
acousticness,0.382,18
acousticness,0.409,18
acousticness,0.449,18
acousticness,0.59,18
acousticness,0.613,18
acousticness,0.645,18
acousticness,0.668,18
acousticness,0.731,18
acousticness,0.737,18
acousticness,0.74,18
acousticness,0.804,18
acousticness,0.833,18
acousticness,0.836,18
acousticness,0.845,18
acousticness,0.857,18
acousticness,0.867,18
acousticness,0.87,18
acousticness,0.885,18
acousticness,0.887,18
acousticness,0.889,18
acousticness,0.906,18
acousticness,0.91,18
acousticness,0.92,18
acousticness,0.935,18
acousticness,0.94,18
acousticness,0.947,18
acousticness,0.951,18
acousticness,0.954,18
acousticness,0.00119,17
acousticness,0.00123,17
acousticness,0.0105,17
acousticness,0.0161,17
acousticness,0.0162,17
acousticness,0.0172,17
acousticness,0.0201,17
acousticness,0.0206,17
acousticness,0.0305,17
acousticness,0.0336,17
acousticness,0.0364,17
acousticness,0.0387,17
acousticness,0.0394,17
acousticness,0.0622,17
acousticness,0.19,17
acousticness,0.232,17
acousticness,0.24,17
acousticness,0.247,17
acousticness,0.25,17
acousticness,0.254,17
acousticness,0.265,17
acousticness,0.276,17
acousticness,0.281,17
acousticness,0.292,17
acousticness,0.294,17
acousticness,0.296,17
acousticness,0.325,17
acousticness,0.347,17
acousticness,0.384,17
acousticness,0.386,17
acousticness,0.399,17
acousticness,0.416,17
acousticness,0.44,17
acousticness,0.444,17
acousticness,0.448,17
acousticness,0.457,17
acousticness,0.46,17
acousticness,0.483,17
acousticness,0.491,17
acousticness,0.521,17
acousticness,0.574,17
acousticness,0.584,17
acousticness,0.616,17
acousticness,0.664,17
acousticness,0.679,17
acousticness,0.687,17
acousticness,0.701,17
acousticness,0.711,17
acousticness,0.734,17
acousticness,0.779,17
acousticness,0.814,17
acousticness,0.838,17
acousticness,0.839,17
acousticness,0.85,17
acousticness,0.852,17
acousticness,0.856,17
acousticness,0.899,17
acousticness,0.911,17
acousticness,0.914,17
acousticness,0.915,17
acousticness,0.917,17
acousticness,0.944,17
acousticness,0.95,17
acousticness,0.00112,16
acousticness,0.00122,16
acousticness,0.00125,16
acousticness,0.00216,16
acousticness,0.00346,16
acousticness,0.0131,16
acousticness,0.0132,16
acousticness,0.0137,16
acousticness,0.0158,16
acousticness,0.0159,16
acousticness,0.017,16
acousticness,0.0171,16
acousticness,0.0213,16
acousticness,0.0251,16
acousticness,0.0285,16
acousticness,0.029,16
acousticness,0.0303,16
acousticness,0.0308,16
acousticness,0.0332,16
acousticness,0.034,16
acousticness,0.0468,16
acousticness,0.183,16
acousticness,0.185,16
acousticness,0.2,16
acousticness,0.201,16
acousticness,0.216,16
acousticness,0.241,16
acousticness,0.242,16
acousticness,0.249,16
acousticness,0.251,16
acousticness,0.266,16
acousticness,0.272,16
acousticness,0.274,16
acousticness,0.275,16
acousticness,0.286,16
acousticness,0.295,16
acousticness,0.298,16
acousticness,0.302,16
acousticness,0.304,16
acousticness,0.329,16
acousticness,0.341,16
acousticness,0.346,16
acousticness,0.35,16
acousticness,0.395,16
acousticness,0.426,16
acousticness,0.447,16
acousticness,0.505,16
acousticness,0.51,16
acousticness,0.531,16
acousticness,0.532,16
acousticness,0.553,16
acousticness,0.583,16
acousticness,0.587,16
acousticness,0.589,16
acousticness,0.611,16
acousticness,0.628,16
acousticness,0.633,16
acousticness,0.638,16
acousticness,0.639,16
acousticness,0.65,16
acousticness,0.652,16
acousticness,0.655,16
acousticness,0.656,16
acousticness,0.661,16
acousticness,0.663,16
acousticness,0.698,16
acousticness,0.706,16
acousticness,0.716,16
acousticness,0.719,16
acousticness,0.738,16
acousticness,0.798,16
acousticness,0.819,16
acousticness,0.825,16
acousticness,0.83,16
acousticness,0.834,16
acousticness,0.896,16
acousticness,0.941,16
acousticness,0.00115,15
acousticness,0.00131,15
acousticness,0.00269,15
acousticness,0.00404,15
acousticness,0.00537,15
acousticness,0.00721,15
acousticness,0.00858,15
acousticness,0.0103,15
acousticness,0.011,15
acousticness,0.0135,15
acousticness,0.0136,15
