column_a,column_b,correlation
energy,loudness,0.7751899120385385
energy,acousticness,-0.7417176563118032
loudness,acousticness,-0.6303246443989172
danceability,valence,0.5116307365870096
speechiness,liveness,0.44828337818351816
loudness,instrumentalness,-0.4133600779623987
instrumentalness,valence,-0.25787198692168745
acousticness,tempo,-0.2239823175930608
energy,tempo,0.2231053230833557
danceability,loudness,0.2166738821161446
