coluna,valor,contagem
acousticness,0.231,86
acousticness,0.297,86
acousticness,0.301,86
acousticness,0.313,86
acousticness,0.424,86
acousticness,0.655,86
acousticness,0.709,86
acousticness,0.726,86
acousticness,0.836,86
acousticness,0.871,86
acousticness,0.967,86
acousticness,0.227,85
acousticness,0.312,85
acousticness,0.314,85
acousticness,0.347,85
acousticness,0.572,85
acousticness,0.619,85
acousticness,0.686,85
acousticness,0.698,85
acousticness,0.768,85
acousticness,0.828,85
acousticness,0.908,85
acousticness,0.914,85
acousticness,0.948,85
acousticness,0.965,85
acousticness,0.0109,84
acousticness,0.241,84
acousticness,0.248,84
acousticness,0.287,84
acousticness,0.335,84
acousticness,0.5,84
acousticness,0.573,84
acousticness,0.766,84
acousticness,0.938,84
acousticness,0.258,83
acousticness,0.353,83
acousticness,0.39,83
acousticness,0.436,83
acousticness,0.778,83
acousticness,0.796,83
acousticness,0.818,83
acousticness,0.926,83
acousticness,0.933,83
acousticness,0.956,83
acousticness,0.971,83
acousticness,0.206,82
acousticness,0.24,82
acousticness,0.281,82
acousticness,0.355,82
acousticness,0.393,82
acousticness,0.395,82
acousticness,0.435,82
acousticness,0.486,82
acousticness,0.535,82
acousticness,0.583,82
acousticness,0.64,82
acousticness,0.642,82
acousticness,0.656,82
acousticness,0.742,82
acousticness,0.812,82
acousticness,0.82,82
acousticness,0.93,82
acousticness,0.944,82
acousticness,0.962,82
acousticness,0.0102,81
acousticness,0.0202,81
acousticness,0.034,81
acousticness,0.239,81
acousticness,0.334,81
acousticness,0.403,81
acousticness,0.464,81
acousticness,0.555,81
acousticness,0.729,81
acousticness,0.776,81
acousticness,0.802,81
acousticness,0.815,81
acousticness,0.888,81
acousticness,0.932,81
acousticness,0.95,81
acousticness,0.953,81
acousticness,0.0185,80
acousticness,0.0268,80
acousticness,0.195,80
acousticness,0.233,80
acousticness,0.267,80
acousticness,0.343,80
acousticness,0.356,80
acousticness,0.407,80
acousticness,0.444,80
acousticness,0.449,80
acousticness,0.46,80
acousticness,0.513,80
acousticness,0.674,80
acousticness,0.687,80
acousticness,0.73,80
acousticness,0.77,80
acousticness,0.854,80
acousticness,0.902,80
acousticness,0.929,80
acousticness,0.0119,79
acousticness,0.0132,79
acousticness,0.016,79
acousticness,0.0301,79
acousticness,0.354,79
acousticness,0.382,79
acousticness,0.463,79
acousticness,0.467,79
acousticness,0.546,79
acousticness,0.58,79
acousticness,0.581,79
acousticness,0.704,79
acousticness,0.762,79
acousticness,0.864,79
acousticness,0.872,79
acousticness,0.94,79
acousticness,0.946,79
acousticness,0.963,79
acousticness,0.966,79
acousticness,0.0103,78
acousticness,0.014,78
acousticness,0.0145,78
acousticness,0.0173,78
acousticness,0.264,78
acousticness,0.298,78
acousticness,0.337,78
acousticness,0.358,78
acousticness,0.374,78
acousticness,0.455,78
acousticness,0.484,78
acousticness,0.565,78
acousticness,0.598,78
acousticness,0.628,78
acousticness,0.65,78
acousticness,0.653,78
acousticness,0.668,78
acousticness,0.74,78
acousticness,0.741,78
acousticness,0.755,78
acousticness,0.807,78
acousticness,0.844,78
acousticness,0.89,78
acousticness,0.582,77
acousticness,0.714,77
acousticness,0.758,77
acousticness,0.795,77
acousticness,0.814,77
acousticness,0.847,77
acousticness,0.867,77
acousticness,0.885,77
acousticness,0.895,77
acousticness,0.958,77
acousticness,0.972,77
acousticness,0.0126,76
acousticness,0.0195,76
acousticness,0.203,76
acousticness,0.252,76
acousticness,0.311,76
acousticness,0.327,76
acousticness,0.329,76
acousticness,0.365,76
acousticness,0.368,76
acousticness,0.386,76
acousticness,0.408,76
acousticness,0.54,76
acousticness,0.568,76
acousticness,0.613,76
acousticness,0.623,76
acousticness,0.745,76
acousticness,0.81,76
acousticness,0.817,76
acousticness,0.831,76
acousticness,0.84,76
acousticness,0.877,76
acousticness,0.901,76
acousticness,0.905,76
acousticness,0.941,76
acousticness,0.954,76
acousticness,0.955,76
acousticness,0.0101,75
acousticness,0.207,75
acousticness,0.23,75
acousticness,0.265,75
acousticness,0.295,75
acousticness,0.377,75
acousticness,0.416,75
acousticness,0.469,75
acousticness,0.649,75
acousticness,0.657,75
acousticness,0.676,75
acousticness,0.825,75
acousticness,0.858,75
acousticness,0.866,75
acousticness,0.884,75
acousticness,0.907,75
acousticness,0.0104,74
acousticness,0.19,74
acousticness,0.266,74
acousticness,0.271,74
acousticness,0.315,74
acousticness,0.42,74
acousticness,0.536,74
acousticness,0.624,74
acousticness,0.627,74
acousticness,0.629,74
acousticness,0.636,74
acousticness,0.658,74
acousticness,0.692,74
acousticness,0.703,74
acousticness,0.753,74
acousticness,0.788,74
acousticness,0.811,74
acousticness,0.841,74
acousticness,0.856,74
acousticness,0.937,74
acousticness,0.952,74
acousticness,0.0107,73
acousticness,0.0282,73
acousticness,0.0493,73
acousticness,0.0789,73
acousticness,0.211,73
acousticness,0.244,73
acousticness,0.293,73
acousticness,0.317,73
acousticness,0.397,73
acousticness,0.537,73
acousticness,0.596,73
acousticness,0.641,73
acousticness,0.651,73
acousticness,0.72,73
acousticness,0.781,73
acousticness,0.876,73
acousticness,0.894,73
acousticness,0.917,73
acousticness,0.949,73
acousticness,0.96,73
acousticness,0.0143,72
acousticness,0.305,72
acousticness,0.331,72
acousticness,0.481,72
acousticness,0.505,72
acousticness,0.506,72
acousticness,0.511,72
acousticness,0.514,72
acousticness,0.531,72
acousticness,0.679,72
acousticness,0.699,72
acousticness,0.707,72
acousticness,0.713,72
acousticness,0.724,72
acousticness,0.771,72
acousticness,0.889,72
acousticness,0.893,72
acousticness,0.921,72
acousticness,0.0225,71
acousticness,0.028,71
acousticness,0.277,71
acousticness,0.279,71
acousticness,0.302,71
acousticness,0.306,71
acousticness,0.357,71
acousticness,0.373,71
acousticness,0.38,71
acousticness,0.412,71
acousticness,0.426,71
acousticness,0.471,71
